Reference, Value, Footprint, Datasheet, Mouser Part No.
R20,220,Resistors_SMD:R_0603,,
R15,220,Resistors_SMD:R_0603,,
R23,220,Resistors_SMD:R_0603,,
R13,470,Resistors_SMD:R_0603,,
C17,0.01u,Capacitors_SMD:C_0603,,
C20,0.01u,Capacitors_SMD:C_0603,,
C13,0.1u,Capacitors_SMD:C_0603,,
C12,0.1u,Capacitors_SMD:C_0603,,
C11,0.1u,Capacitors_SMD:C_0603,,
C19,0.1u,Capacitors_SMD:C_0603,,
C4,0.1u,Capacitors_SMD:C_0603,,810-C1005X5R1H104K
R16,100k,Resistors_SMD:R_0603,,
R26,100k,Resistors_SMD:R_0603,,
C1,100n,Capacitors_SMD:C_0603,,
C5,100n,Capacitors_SMD:C_0603,,
R21,10k,Resistors_SMD:R_0603,,
R22,10k,Resistors_SMD:R_0603,,
R24,10k,Resistors_SMD:R_0603,,
R25,10k,Resistors_SMD:R_0603,,
R30,10k,Resistors_SMD:R_0603,,
R31,10k,Resistors_SMD:R_0603,,
R28,10k,Resistors_SMD:R_0603,,
R29,10k,Resistors_SMD:R_0603,,
R14,10k,Resistors_SMD:R_0603,,
R27,10k,Resistors_SMD:R_0603,,
R11,10k,Resistors_SMD:R_0603,,71-CRCW0402-10K-E3
C10,10n,Capacitors_SMD:C_0603,,
C9,10u,Capacitors_SMD:C_0603,,
C7,10u,Capacitors_SMD:C_0603,,
C3,10u,Capacitors_SMD:C_0603,,
R1,1k,Resistors_SMD:R_0603,,754-RR0510P-102D
C14,1u,Capacitors_SMD:C_0603,,
C16,1u,Capacitors_SMD:C_0603,,
C24,22n,Capacitors_SMD:C_0603,,
R3,3.9k,Resistors_SMD:R_0603,,71-CRCW04023K90FKED
R5,3.9k,Resistors_SMD:R_0603,,71-CRCW04023K90FKED
D2,3D FIX,Diodes_SMD:D_0603,,
C21,470p,Capacitors_SMD:C_0603,,
R17,47k,Resistors_SMD:R_0603,,
R12,47k,Resistors_SMD:R_0603,,667-ERJ-2RKF4702X
C23,47p,Capacitors_SMD:C_0603,,
D5,5.6V,Diodes_SMD:D_SOD-323,,
R19,51k,Resistors_SMD:R_0603,,
U9,ADS7828,Housings_SSOP:TSSOP-16_4.4x5mm_Pitch0.65mm,,
U8,Airspeed,SMD_Packages:SOIC-8-N,,
BT1,Battery_Cell,Battery_Holders:Keystone_3000_1x12mm-CoinCell,,
U3,BME280,aeroPi:BME280,,
Q2,BSS138,TO_SOT_Packages_SMD:SOT-23,,
Q3,BSS138,TO_SOT_Packages_SMD:SOT-23,,
Q5,BSS138,TO_SOT_Packages_SMD:SOT-23,,
Q4,BSS138,TO_SOT_Packages_SMD:SOT-23,,
Q1,BSS138,TO_SOT_Packages_SMD:SOT-23,,621-DMG2305UX-13
U2,CAT24C32HU4I-GT3,w_smd_dil:tssop-8,,698-CAT24C32YI-GT3
P1,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm,,
P2,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm,,651-1904383
P4,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm,,651-1904383
J4,CONN_01X04,Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm,,
J1,CONN_COAXIAL,Connectors_Molex:Molex_Microcoaxial_RF,,
J2,DB15_FEMALE,Connectors:DB15FC,,
D4,Diode,Diodes_SMD:D_0603,,
U5,DMMT5401,w_smd_trans:sot23-6,,621-DMMT5401-7-F
L2,Ferrite,Resistors_SMD:R_0805,,
U6,FGPMMOPA6H,aeroPi:PA6H,,
JP1,JUMPER,Resistors_SMD:R_0603,,
U12,LM358,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,,
U11,MAP Pressure,SMD_Packages:SOIC-8-N,,
U1,MIC5219-3.3BM5,TO_SOT_Packages_SMD:SOT-23-5,,
U7,MPU-9250,Housings_DFN_QFN:QFN-24_3x3mm_Pitch0.4mm,,
P3,Raspberry_Pi_+_Conn,w_pin_strip:pin_socket_20x2,,517-30340-6002
